IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
173.245.59.110,4,2,0.50,65.59,0.00,N/A
198.41.211.46,4,2,0.50,122.18,0.00,N/A
104.19.141.18,4,2,0.50,145.87,0.00,N/A
104.17.1.40,4,2,0.50,146.31,0.00,N/A
172.64.235.119,4,2,0.50,149.42,0.00,N/A
104.19.128.213,4,2,0.50,151.34,0.00,N/A
104.16.240.73,4,2,0.50,152.13,0.00,N/A
104.16.244.223,4,2,0.50,155.27,0.00,N/A
172.65.19.219,4,2,0.50,155.46,0.00,N/A
104.19.97.55,4,2,0.50,156.88,0.00,N/A
104.19.247.91,4,2,0.50,163.90,0.00,N/A
104.19.119.46,4,2,0.50,165.65,0.00,N/A
104.18.164.78,4,2,0.50,167.85,0.00,N/A
104.21.202.208,4,2,0.50,168.80,0.00,N/A
104.17.49.27,4,2,0.50,168.91,0.00,N/A
172.67.210.5,4,2,0.50,170.23,0.00,N/A
104.25.62.103,4,2,0.50,171.77,0.00,N/A
172.67.199.71,4,2,0.50,175.34,0.00,N/A
104.18.250.186,4,2,0.50,177.07,0.00,N/A
172.65.29.229,4,2,0.50,179.33,0.00,N/A
172.65.69.125,4,2,0.50,185.53,0.00,N/A
172.67.136.173,4,2,0.50,194.42,0.00,N/A
104.24.12.58,4,2,0.50,196.60,0.00,N/A
172.67.165.1,4,2,0.50,203.82,0.00,N/A
172.65.161.206,4,2,0.50,211.01,0.00,N/A
172.65.150.46,4,2,0.50,214.11,0.00,N/A
104.25.235.82,4,2,0.50,214.67,0.00,N/A
172.65.120.209,4,2,0.50,216.02,0.00,N/A
104.16.119.70,4,2,0.50,221.10,0.00,N/A
104.29.147.167,4,2,0.50,231.93,0.00,N/A
172.65.115.40,4,2,0.50,251.78,0.00,N/A
162.159.39.153,4,1,0.75,23.44,0.00,N/A
162.159.51.151,4,1,0.75,57.54,0.00,N/A
172.64.144.218,4,1,0.75,61.88,0.00,N/A
162.159.42.130,4,1,0.75,62.11,0.00,N/A
172.64.147.52,4,1,0.75,64.71,0.00,N/A
162.159.36.34,4,1,0.75,66.46,0.00,N/A
162.159.4.36,4,1,0.75,68.89,0.00,N/A
172.64.152.183,4,1,0.75,69.29,0.00,N/A
162.159.22.49,4,1,0.75,75.69,0.00,N/A
172.64.158.57,4,1,0.75,78.67,0.00,N/A
172.64.154.71,4,1,0.75,79.47,0.00,N/A
162.159.13.199,4,1,0.75,82.52,0.00,N/A
162.159.6.177,4,1,0.75,82.64,0.00,N/A
104.18.35.128,4,1,0.75,87.00,0.00,N/A
162.159.27.6,4,1,0.75,95.98,0.00,N/A
104.19.54.250,4,1,0.75,128.41,0.00,N/A
104.17.160.67,4,1,0.75,129.96,0.00,N/A
104.17.186.213,4,1,0.75,129.99,0.00,N/A
104.18.107.89,4,1,0.75,130.58,0.00,N/A
104.18.100.84,4,1,0.75,130.75,0.00,N/A
104.17.163.37,4,1,0.75,130.96,0.00,N/A
104.18.65.141,4,1,0.75,131.18,0.00,N/A
104.18.68.63,4,1,0.75,131.80,0.00,N/A
104.17.184.221,4,1,0.75,131.81,0.00,N/A
172.66.2.130,4,1,0.75,132.25,0.00,N/A
